GameName,trial_id,subject_id,load_trial,highest_score,total_frame,total_game_play_time,total_episode,max_error,avg_error,low_sample_rate,frame_averaging,fps
alien,314, R,0,21070,17727,900034,1,1.29,0.58,0.60%,FALSE,20
alien,316, R,0,22950,17660,900050,1,0.65,0.19,0.80%,FALSE,20
alien,321, R,0,29800,17750,900023,1,0.85,0.33,0.90%,FALSE,20
alien,323, R,0,31780,17747,900023,1,0.66,0.33,1.00%,FALSE,20
alien,334, R,0,22200,17640,900050,1,0.83,0.35,2.40%,FALSE,20
alien,339, R,0,25880,17797,900002,1,0.49,0.27,0.80%,FALSE,20
alien,341, R,0,29650,17842,900009,1,1.18,0.74,1.60%,FALSE,20
alien,348, R,0,33200,17803,900041,1,0.97,0.69,1.40%,FALSE,20
alien,358, R,0,24940,17629,900041,1,0.64,0.19,1.20%,FALSE,20
alien,367, R,0,25340,17546,900016,1,0.8,0.32,0.90%,FALSE,20
alien,383, R,0,30150,17668,900012,1,0.6,0.18,1.10%,FALSE,20
alien,399, R,0,34980,17784,900051,1,0.7,0.43,1.00%,FALSE,20
alien,406, R,0,28390,17783,900038,1,0.74,0.39,2.50%,FALSE,20
alien,415, R,0,26950,17472,900048,1,0.49,0.27,3.40%,FALSE,20
alien,421, R,0,22950,17348,900016,1,0.52,0.22,1.10%,FALSE,20
alien,434, R,0,31370,17563,900049,1,0.86,0.51,1.70%,FALSE,20
alien,449, R,0,32660,17800,900023,1,0.69,0.48,1.30%,FALSE,20
alien,464, R,0,30860,17590,900020,1,0.67,0.39,1.60%,FALSE,20
alien,474, R,0,31740,17636,900012,1,0.93,0.35,0.90%,FALSE,20
alien,491, R,0,21600,17661,900051,1,0.69,0.27,2.60%,FALSE,20
alien_highscore,533, R,399,73460,16564,900040,1,0.59,0.31,1.00%,FALSE,20
alien_highscore,551, R,533,107140,10792,596311,2,0.86,0.45,0.80%,FALSE,20
asterix,160, R,0,95500,15515,900021,1,0.76,0.45,1.80%,FALSE,20
asterix,162, R,0,84500,15683,899983,1,0.86,0.41,3.50%,FALSE,20
asterix,163, R,0,99000,15980,900003,1,0.78,0.54,4.30%,FALSE,20
asterix,167,J,0,105500,16172,900033,1,0.68,0.31,0.40%,FALSE,20
asterix,168,J,0,130500,17261,900040,1,0.6,0.28,0.30%,FALSE,20
asterix,171,J,0,135000,17697,900043,1,0.94,0.45,0.30%,FALSE,20
asterix,213,R,0,88000,15093,899997,1,0.81,0.4,1.60%,FALSE,20
asterix,243,R,0,106500,15568,900045,1,0.59,0.25,3.90%,FALSE,20
asterix,301,R,0,104500,15927,900002,1,0.83,0.47,2.20%,FALSE,20
asterix,315,R,0,126500,16274,899861,1,1.42,0.71,6.50%,FALSE,20
asterix,387,R,0,107500,15879,900046,1,0.97,0.45,2.20%,FALSE,20
asterix,428,R,0,122500,16275,900050,1,0.81,0.44,2.00%,FALSE,20
asterix,461,R,0,119500,16604,900001,1,0.65,0.32,3.90%,FALSE,20
asterix,478,R,0,114000,16165,900034,1,0.45,0.25,2.60%,FALSE,20
asterix,502,R,0,113000,16471,900011,1,0.51,0.21,2.60%,FALSE,20
asterix_highscore,246,R,243,331000,11616,899720,1,0.73,0.55,0.50%,FALSE,20
asterix_highscore,260,R,246,537500,11557,900041,1,0.96,0.38,1.60%,FALSE,20
asterix_highscore,534,R,260,735500,10426,900001,1,1,0.52,0.80%,FALSE,20
asterix_highscore,543,R,534,950000,10565,900019,1,0.38,0.2,2.40%,FALSE,20
asterix_highscore,553,R,543,999500,2220,219911,1,0.58,0.29,0.70%,FALSE,20
bank_heist,342,R,0,4200,17399,900005,1,0.71,0.31,1.50%,FALSE,20
bank_heist,344,R,0,5150,17601,900034,1,0.48,0.21,1.30%,FALSE,20
bank_heist,347,R,0,5185,17602,900038,1,0.9,0.3,0.90%,FALSE,20
bank_heist,350,R,0,5535,17715,900035,1,1.15,0.55,0.40%,FALSE,20
bank_heist,355,R,0,5435,17524,900050,1,0.55,0.27,1.50%,FALSE,20
bank_heist,362,R,0,5405,17628,900043,1,0.64,0.48,2.20%,FALSE,20
bank_heist,368,R,0,5585,17552,900020,1,0.92,0.51,1.00%,FALSE,20
